Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
		West Hollywood	2	2	6	0	0	5	0	4	1	"36	130"
		Westlake Village	0	0	0	1	0	0	0	0	1	"8	516"
		Westminster	1	1	0	0	0	1	0	0	1	"88	730"
		West Sacramento	0	0	0	2	0	0	0	2	0	"48	715"
		Whittier	2	1	1	0	0	2	0	0	2	"82	727"
		Woodland	2	0	0	2	0	0	1	2	1	"54	210"
		Yreka	1	0	0	0	0	0	0	1	0	"7	358"
		Yuba City	0	0	1	0	0	1	0	0	0	"62	595"
	Universities and Colleges		20	14	5	7	0					
		"California State Polytechnic University	 Pomona"	1	0	0	0	0	0	1	0	0	"21	477"
		California State University:										
		Dominguez Hills	1	0	0	0	0	0	1	0	0	"12	082"
		Fullerton	0	0	1	0	0	0	1	0	0	"37	130"
		Long Beach	1	0	0	0	0	0	1	0	0	"36	868"
		Los Angeles	0	0	1	2	0	1	2	0	0	"21	051"
		Sacramento	1	0	0	0	0	0	0	0	1	"28	829"
		Humboldt State University	0	0	0	2	0	1	0	1	0	"7	773"
		Pasadena Community College	1	0	0	0	0	0	0	0	1	"26	672"
		Riverside Community College	6	0	0	0	0	1	0	4	1	"30	961"
		San Diego State University	1	0	2	0	0	0	0	2	1	"35	695"
		San Francisco State University	0	3	1	2	0	3	0	2	1	"30	125"
		Santa Rosa Junior College	2	0	0	0	0	2	0	0	0	"25	626"
		University of California:										
		Berkeley	1	3	0	1	0	0	1	3	1	"34	940"
		Los Angeles	1	0	0	0	0	0	0	1	0	"37	476"
		Riverside	2	3	0	0	0	2	1	0	2	"17	187"
		Santa Cruz	2	5	0	0	0	1	3	1	2	"15	825"
	Metropolitan Counties		72	21	26	24	0					
		Butte	1	1	0	0	0	1	0	0	1	
		El Dorado	2	0	0	0	0	0	0	2	0	
		Kern	6	1	2	5	0	4	1	5	4	
		Los Angeles	24	6	6	11	0	8	14	14	11	
		Marin	0	2	0	0	0	0	1	0	1	
		Monterey	3	0	1	0	0	1	3	0	0	
		Orange	4	1	0	1	0	2	1	1	2	
		Riverside	6	1	3	2	0	5	2	2	3	
		Sacramento	11	2	2	2	0	3	7	5	2	
		San Benito	1	0	0	0	0	1	0	0	0	
		San Bernardino	0	0	0	1	0	0	0	0	1	
		San Diego	5	1	2	0	0	2	1	3	2	
		San Joaquin	0	0	1	0	0	1	0	0	0	
		San Luis Obispo	1	0	0	0	0	0	0	0	1	
		Santa Barbara	0	0	1	0	0	0	0	1	0	
		Santa Clara	1	1	2	1	0	0	2	1	2	
		Santa Cruz	1	2	0	0	0	0	1	1	1	
		Shasta	1	0	0	0	0	0	0	1	0	
		Sonoma	0	2	2	1	0	2	2	0	1	
		Stanislaus	0	0	1	0	0	0	0	1	0	
		Ventura	3	1	3	0	0	1	4	2	0	
		Yuba	2	0	0	0	0	0	1	1	0	
	Nonmetropolitan Counties		8	3	0	0	0					
		Colusa	1	0	0	0	0	1	0	0	0	
		Glenn	1	0	0	0	0	0	0	0	1	
		Inyo	0	1	0	0	0	0	1	0	0	
		Lake	1	1	0	0	0	0	2	0	0	
		Mariposa	2	0	0	0	0	2	0		0	
		Mendocino	1	0	0	0	0	0	1	0	0	
		Mono	1	0	0	0	0	0	1	0	0	
